adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001628280-24-043777	789460	WORLD KINECT CORP	5172	US	FL	MIAMI	33178	9800 N.W. 41ST STREET		305-428-8000	US	FL	MIAMI	33178	9800 N.W. 41ST STREET		US	FL	592459427	WORLD FUEL SERVICES CORP	19951031	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241025	2024-10-25 11:57:00.0	0	1	wkc-20240930_htm.xml	1	
0000950170-24-122438	1720116	RED VIOLET, INC.	7372	US	FL	BOCA RATON	33431	2650 NORTH MILITARY TRAIL	SUITE 300	5617574000	US	FL	BOCA RATON	33431	2650 NORTH MILITARY TRAIL	SUITE 300	US	DE	822408531			4-NON	0	1231	10-Q	20240930	2024	Q3	20241106	2024-11-06 16:55:00.0	0	1	rdvt-20240930_htm.xml	1	
0000060667-24-000169	60667	LOWES COMPANIES INC	5211	US	NC	MOORESVILLE	28117	1000 LOWES BLVD.		704-758-1000	US	NC	MOORESVILLE	28117	1000 LOWES BLVD.		US	NC	560578072			1-LAF	0	0131	10-Q	20241031	2024	Q3	20241127	2024-11-27 16:15:00.0	0	1	low-20241101_htm.xml	1	
0002002473-24-000015	2002473	BOWHEAD SPECIALTY HOLDINGS INC.	6331	US	NY	NEW YORK	10018	452 5TH AVENUE	24TH FLOOR	2129700269	US	NY	NEW YORK	10018	452 5TH AVENUE	24TH FLOOR	US	DE	000000000	BOWHEAD HOLDINGS INC.	20231128	4-NON	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 07:19:00.0	0	1	bow-20240930_htm.xml	1	
0000950170-24-123804	1315257	KOPPERS HOLDINGS INC.	2400	US	PA	PITTSBURGH	15219	436 SEVENTH AVENUE		412-227-2001	US	PA	PITTSBURGH	15219	436 SEVENTH AVENUE		US	PA	201878963	KI HOLDINGS INC.	20050124	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 12:00:00.0	0	1	kop-20240930_htm.xml	1	
0001477932-24-006462	1490873	ECO SCIENCE SOLUTIONS, INC.	5900	US	CA	SAN CLEMENTE	92672	300 S. EL CAMINO REAL, #206		833-464-3726	US	CA	SAN CLEMENTE	92672	300 S. EL CAMINO REAL, #206		US	NV	464199032	EATON SCIENTIFIC SYSTEMS, INC.	20130509	4-NON	0	0131	10-K	20240131	2023	FY	20241016	2024-10-15 19:32:00.0	0	1	essi_10k_htm.xml	1	
0001213900-24-086156	1409197	BESPOKE EXTRACTS, INC.	2834	US	CO	DENVER	80205	2590 WALNUT ST.		855-633-3738	US	CO	DENVER	80205	2590 WALNUT ST.		US	NV	204743354	DIMI TELEMATICS INTERNATIONAL, INC.	20120319	4-NON	0	1231	10-Q	20240630	2024	Q2	20241008	2024-10-08 12:08:00.0	0	1	ea0215414-10q_bespoke_htm.xml	1	
0001396009-24-000023	1396009	VULCAN MATERIALS CO	1400	US	AL	BIRMINGHAM	35242	1200 URBAN CENTER DRIVE		(205) 298-3000	US	AL	BIRMINGHAM	35242	1200 URBAN CENTER DRIVE		US	NJ	208579133	VIRGINIA HOLDCO, INC.	20070409	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241030	2024-10-30 14:09:00.0	0	1	vmc-20240930_htm.xml	1	
0001962918-24-000128	1962918	ACELYRIN, INC.	2834	US	CA	AGOURA HILLS	91301	4149 LIBERTY CANYON RD.		805-871-4300	US	CA	AGOURA HILLS	91301	4149 LIBERTY CANYON RD.		US	DE	852406735			4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 16:02:00.0	0	1	slrn-20240930_htm.xml	1	
0001493152-24-049885	1388295	ONEMETA INC.	7374	US	CA	NEWPORT BEACH,	92660	1 HAMPSHIRE COURT		949-642-7816	US	CA	NEWPORT BEACH,	92660	1 HAMPSHIRE COURT		US	NV	205150818	WEBSAFETY, INC.	20091112	4-NON	0	1231	10-Q/A	20240930	2024	Q3	20241213	2024-12-13 06:15:00.0	0	1	form10-qa_htm.xml	1	
0001493152-24-048874	1849380	ONEMEDNET CORP	8731	GB		SURREY	KT9 1BD	TRIDENT COURT, 1 OAKCROFT ROAD	CHESSINGTON	011-44-208-090-2009	GB		SURREY	KT9 1BD	TRIDENT COURT, 1 OAKCROFT ROAD	CHESSINGTON	US	DE	862076743	DATA KNIGHTS ACQUISITION CORP.	20210304	4-NON	0	1231	10-Q	20240331	2024	Q1	20241205	2024-12-05 16:06:00.0	0	1	form10-q_htm.xml	1	
0001174947-24-001190	95029	STURM RUGER & CO INC	3480	US	CT	SOUTHPORT	06490	1 LACEY PLACE		2032597843	US	CT	SOUTHPORT	06490		1 LACEY PLACE	US	DE	060633559			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241030	2024-10-30 17:02:00.0	0	1	rgr-20240928_htm.xml	1	
0001628280-24-048280	1721741	LAZYDAYS HOLDINGS, INC.	5500	US	FL	TAMPA	33610	4042 PARK OAKS BLVD	SUITE 350	813-246-4999	US	FL	TAMPA	33610	4042 PARK OAKS BLVD	SUITE 350	US	DE	000000000	ANDINA II HOLDCO CORP.	20171103	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241118	2024-11-18 16:49:00.0	0	1	gorv-20240930_htm.xml	1	
0001558370-24-015613	1393434	OCULAR THERAPEUTIX, INC	2834	US	MA	BEDFORD	01730	15 CROSBY DRIVE		781-357-4000	US	MA	BEDFORD	01730	15 CROSBY DRIVE		US	DE	000000000	I-THERAPEUTIX INC	20070315	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 07:15:00.0	0	1	ocul-20240930x10q_htm.xml	1	
0000950170-24-121474	1537054	GOGO INC.	4899	US	CO	BROOMFIELD	80021	105 EDGEVIEW DR., SUITE 300		(303) 301-3271	US	CO	BROOMFIELD	80021	105 EDGEVIEW DR., SUITE 300		US	DE	271650905			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 16:14:00.0	0	1	gogo-20240930_htm.xml	1	
0000016732-24-000201	16732	CAMPBELL'S CO	2000	US	NJ	CAMDEN	08103	CAMPBELL PL		8563424800	US	NJ	CAMDEN	08103	CAMPBELL PL		US	NJ	210419870	CAMPBELL SOUP CO	19920703	1-LAF	0	0731	10-Q	20241031	2025	Q1	20241204	2024-12-04 07:42:00.0	0	1	cpb-20241027_htm.xml	1	
0001999261-24-000020	1999261	STAGEWISE STRATEGIES CORP.	7374	DE		BERLIN	10117	FRIEDRICHSTR. 114A		14133076199	DE		BERLIN	10117	FRIEDRICHSTR. 114A		US	NV	612108075			4-NON	0	0930	10-K	20240930	2024	FY	20241230	2024-12-30 15:36:00.0	0	1	stagewise10k_2024_htm.xml	1	
0000950170-24-124668	1488039	ATOSSA THERAPEUTICS, INC.	2834	US	WA	SEATTLE	98125	10202 5TH AVENUE NE	SUITE 200	206.588.0256	US	WA	SEATTLE	98125	10202 5TH AVENUE NE	SUITE 200	US	DE	264753208	ATOSSA GENETICS INC	20100325	4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 08:35:00.0	0	1	atos-20240930_htm.xml	1	
0001193125-24-256542	1070304	ORIX CORP	6159	JP		TOKYO	105 5135	WORLD TRADE CENTER BLDG., SOUTH TOWER	2-4-1 HAMAMATSU-CHO, MINATO-KU	81334353000	JP		TOKYO	105 5135	WORLD TRADE CENTER BLDG., SOUTH TOWER	2-4-1 HAMAMATSU-CHO, MINATO-KU			000000000			1-LAF	0	0331	6-K	20240930	2025	Q2	20241113	2024-11-13 06:04:00.0	0	1	d57727d6k_htm.xml	1	
0000950170-24-120128	1705181	GRAYSCALE ETHEREUM CLASSIC TRUST (ETC)	6221	US	CT	STAMFORD	06902	290 HARBOR DRIVE	4TH FLOOR	212-668-1427	US	CT	STAMFORD	06902	290 HARBOR DRIVE	4TH FLOOR	US	DE	826239281	ETHEREUM CLASSIC INVESTMENT TRUST	20170427	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241101	2024-11-01 16:51:00.0	0	1	etcg-20240930_htm.xml	1	
0001628280-24-047872	1843973	FLYEXCLUSIVE INC.	4522	US	NY	NEW YORK	10152	375 PARK AVENUE, 24TH FLOOR		212 888 1040	US	NY	NEW YORK	10152	375 PARK AVENUE, 24TH FLOOR		US	DE	861740840	EG ACQUISITION CORP.	20210202	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 16:02:00.0	0	1	flyx-20240930_htm.xml	1	
0001493152-24-041355	1707303	DOGNESS (INTERNATIONAL) CORP	3990	CN		DONGGUAN, GUANGDONG	523217	NO. 16 N. DONGKE ROAD	TONGSHA INDUSTRIAL ZONE	86 769 88753300	CN		DONGGUAN, GUANGDONG	523217	NO. 16 N. DONGKE ROAD	TONGSHA INDUSTRIAL ZONE	VG		000000000			4-NON	0	0630	20-F	20240630	2024	FY	20241017	2024-10-16 21:54:00.0	0	1	form20-f_htm.xml	1	
0001437749-24-031042	1731348	TILRAY BRANDS, INC.	2833	US	NY	NEW YORK	10065	655 MADISON AVENUE	19TH FLOOR	519.322.8800	US	NY	NEW YORK	10065	655 MADISON AVENUE	19TH FLOOR			824310622	TILRAY, INC.	20180213	1-LAF	0	0531	10-Q	20240831	2025	Q1	20241010	2024-10-10 17:05:00.0	0	1	tlry20240731_10q_htm.xml	1	
0001600626-24-000104	1600626	PEAKSTONE REALTY TRUST	6798							310-606-3200	US	CA	EL SEGUNDO	90245	1520 EAST GRAND AVENUE				464654479	GRIFFIN REALTY TRUST	20230120	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241030	2024-10-30 16:10:00.0	0	1	pkst-20240930_htm.xml	1	
0001558370-24-014784	1513761	NORWEGIAN CRUISE LINE HOLDINGS LTD.	4400	US	FL	MIAMI	33126	7665 CORPORATE DRIVE		305-436-4000	US	FL	MIAMI	33126	7665 CORPORATE DRIVE		BM		980691007			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 09:57:00.0	0	1	nclh-20240930x10q_htm.xml	1	
0001683168-24-007708	1367083	SONOMA PHARMACEUTICALS, INC.	3841	US	CO	BOULDER	80301	5445 CONESTOGA COURT, SUITE 150		800-759-9305	US	CO	BOULDER	80301	5445 CONESTOGA COURT, SUITE 150		US	DE	680423298	OCULUS INNOVATIVE SCIENCES, INC.	20060622	4-NON	0	0331	10-Q	20240930	2025	Q2	20241107	2024-11-07 08:36:00.0	0	1	sonoma_i10q-093024_htm.xml	1	
0000950170-24-127057	1528115	ANNEXON, INC.	2834	US	CA	BRISBANE	94005	1400 SIERRA POINT PARKWAY	BLDG C, SUITE 200	(650)-822-5500	US	CA	BRISBANE	94005	1400 SIERRA POINT PARKWAY	BLDG C, SUITE 200	US	DE	275414423			4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 16:10:00.0	0	1	annx-20240930_htm.xml	1	
0001095651-24-000028	1095651	SAFEHOLD INC.	6798	US	NY	NEW YORK	10036	1114 AVENUE OF THE AMERICAS	39TH FLOOR	2129309400	US	NY	NEW YORK	10036	1114 AVENUE OF THE AMERICAS	39TH FLOOR			956881527	ISTAR INC.	20150825	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241029	2024-10-29 16:15:00.0	0	1	safe-20240930x10q_htm.xml	1	
0001213900-24-090905	1816319	LYTUS TECHNOLOGIES HOLDINGS PTV. LTD.	7374	AE		NAD AL SHEBA, DUBAI	00000	BUSINESS CENTER 1, M FLOOR	THE MEYDAN HOTEL	9084206712	AE		NAD AL SHEBA, DUBAI	00000	BUSINESS CENTER 1, M FLOOR	THE MEYDAN HOTEL	VG		000000000			4-NON	0	0331	F-1/A	20240331			20241028	2024-10-28 06:10:00.0	1	1	ea0208139-04_htm.xml	1	
0000950170-24-120127	1729997	GRAYSCALE DIGITAL LARGE CAP FUND LLC	6221	US	CT	STAMFORD	06902	290 HARBOR DRIVE	4TH FLOOR	212-668-1427	US	CT	STAMFORD	06902	290 HARBOR DRIVE	4TH FLOOR	KY		981406784			2-ACC	0	0630	10-Q	20240930	2025	Q1	20241101	2024-11-01 16:50:00.0	0	1	gdlc-20240930_htm.xml	1	
0001558370-24-014425	1828377	FORTITUDE GOLD CORP	1040	US	CO	COLORADO SPRINGS	80906	2886 CARRIAGE MANOR POINT		3033207708	US	CO	COLORADO SPRINGS	80906	2886 CARRIAGE MANOR POINT		US	CO	852602691			4-NON	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 16:06:00.0	0	1	ftco-20240930x10q_htm.xml	1	
0000950170-24-119231	1675033	GREAT ELM CAPITAL CORP.		US	FL	PALM BEACH GARDENS	33410	3801 PGA BOULEVARD	SUITE 603	617-375-3006	US	FL	PALM BEACH GARDENS	33410	3801 PGA BOULEVARD	SUITE 603	US	MD	812621577			4-NON	0	1231	10-Q	20240930	2024	Q3	20241031	2024-10-31 06:23:00.0	0	1	gecc-20240930_htm.xml	1	
0001683168-24-007729	889609	CONSUMER PORTFOLIO SERVICES, INC.	6199	US	CA	IRVINE	92612	19500 JAMBOREE ROAD		9497536800	US	CA	IRVINE	92612	19500 JAMBOREE ROAD		US	CA	330459135	CONSUMER PORTFOLIO SERVICES INC	19930328	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 14:32:00.0	0	1	cps_i10q-093024_htm.xml	1	
0001667011-24-000036	1667011	ARTERIS, INC.	3674	US	CA	CAMPBELL	95008	900 E. HAMILTON AVE, SUITE 300		(408) 470-7300	US	CA	CAMPBELL	95008	900 E. HAMILTON AVE, SUITE 300		US	DE	000000000			4-NON	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 17:04:00.0	0	1	aip-20240930_htm.xml	1	
0001070750-24-000184	1070750	HOST HOTELS & RESORTS, INC.	6798	US	MD	BETHESDA	20814	4747 BETHESDA AVENUE	SUITE 1300	240-744-1000	US	MD	BETHESDA	20814	4747 BETHESDA AVENUE	SUITE 1300	US	MD	530085950	HOST MARRIOTT CORP/	19981229	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 14:06:00.0	0	1	hst-20240930_htm.xml	2	1061937
0001749723-24-000116	1749723	NEW FORTRESS ENERGY INC.	4924	US	NY	NEW YORK	10011	111 W. 19TH STREET	8TH FLOOR	(516) 268-7400	US	NY	NEW YORK	10011	111 W. 19TH STREET	8TH FLOOR	US	DE	831482060	NEW FORTRESS ENERGY LLC	20181107	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:44:00.0	0	1	nfe-20240930_htm.xml	1	
0001493152-24-050240	788611	NEXTTRIP, INC.	4700	US	NM	SANTE FE	87507	3900 PASEO DEL SOL		(954) 526-9688	US	NM	SANTE FE	87507	3900 PASEO DEL SOL		US	NV	820404220	SIGMA ADDITIVE SOLUTIONS, INC.	20220812	4-NON	0	0229	S-1/A	20240831			20241216	2024-12-16 16:41:00.0	0	1	forms-1a_htm.xml	1	
0001493152-24-044473	1042418	INHIBITOR THERAPEUTICS, INC.	2834	US	FL	TAMPA	33609	4830 W. KENNEDY BLVD.	SUITE 600	(813) 766-2462	US	FL	TAMPA	33609	4830 W. KENNEDY BLVD.	SUITE 600	US	DE	541641133	HEDGEPATH PHARMACEUTICALS, INC.	20130816	4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 06:27:00.0	0	1	form10-q_htm.xml	1	
0001261654-24-000062	1261654	UNIVERSAL TECHNICAL INSTITUTE INC	8200	US	AZ	PHOENIX	85032	4225 EAST WINDROSE DRIVE	SUITE 200	623-445-9500	US	AZ	PHOENIX	85032	4225 EAST WINDROSE DRIVE	SUITE 200	US	DE	860226984			2-ACC	0	0930	10-K	20240930	2024	FY	20241205	2024-12-05 16:35:00.0	0	1	uti-20240930_htm.xml	1	
0000950170-24-120679	862831	FINANCIAL INSTITUTIONS INC	6021	US	NY	WARSAW	14569	220 LIBERTY STREET		5857861100	US	NY	WARSAW	14569	220 LIBERTY STREET		US	NY	160816610			2-ACC	0	1231	10-Q	20240930	2024	Q3	20241104	2024-11-04 16:06:00.0	0	1	fisi-20240930_htm.xml	1	
